52 Week High - India Stocks

Name,Last,High,Low,Chg,Chg%,Volume,Time
"ABC Gas Intl","15.97","15.97","15.97","+0.00","+0.00%","0","28/06"
"APM Finvest","110.80","115.40","109.00","-1.05","-0.94%","22.45K","09:59:55"
"Ace Engitech","16.94","16.94","16.94","+0.80","+4.96%","100.00","09:23:43"
"Ace Integrated","33.15","33.15","33.15","+0.00","+0.00%","0","28/06"
"Alfavision Overseas","149.50","149.65","149.50","+0.20","+0.13%","3.77K","09:52:21"
"Ambar Protein Industries","52.80","52.80","52.80","+2.50","+4.97%","20.00","09:26:50"
"Avro India","132.95","132.95","132.95","+4.55","+3.54%","1.00","09:55:37"
"Axita Cotton","232.80","232.80","212.10","+21.15","+9.99%","9.50K","09:37:11"
"Balgopal Commercial","16.20","16.20","16.20","+0.00","+0.00%","0","27/06"
"Beekay Niryat","45.55","45.55","45.55","+0.00","+0.00%","0","28/06"
"Bheema Cements","98.20","98.25","98.20","+0.00","+0.00%","0","27/06"
"Blue Chip India Ltd","0.4900","0.4900","0.4900","0.0000","0.00%","0","27/06"
"Capfin India Ltd","9.01","9.01","9.01","+0.42","+4.89%","1.00","09:38:23"
"Chitradurga Spintex","21.10","21.10","21.10","+0.00","+0.00%","0","27/06"
"DSJ Keep Learning","1.90","1.90","1.90","+0.09","+4.97%","1.50K","09:38:17"
"Datasoft Application","3.65","3.65","3.65","+0.00","+0.00%","0","27/06"
"De Nora India Ltd","860.70","884.25","844.35","+2.25","+0.26%","7.36K","09:56:31"
"De Nora India Ltd","853.00","888.00","841.10","-3.30","-0.39%","57.15K","10:15:48"
"Deccan Polypacks","5.15","5.15","5.15","+0.00","+0.00%","0","27/06"
"Dhanvarsha Finvest","96.00","101.30","88.00","+5.10","+5.61%","777.13K","10:15:51"
"Dhruva Capital Services","9.59","9.59","9.59","+0.00","+0.00%","0","28/06"
"Diamond Power Infrastructure","1.85","1.85","1.85","0.00","0.00%","0","27/06"
"Dynamic Portfolio Management & Services","20.55","20.55","20.55","+0.00","+0.00%","0","27/06"
"Esaar","6.760","6.760","6.650","+0.000","+0.00%","0","28/06"
"GI Engineering Solutions Ltd","5.60","5.60","5.60","+0.00","+0.00%","0","27/06"
"GI Engineering Solutions Ltd","4.25","4.25","4.25","+0.00","+0.00%","0","27/06"
"Galactico","39.20","39.25","38.80","+0.30","+0.77%","170.23K","10:00:43"
"Galada Finance","18.00","19.25","18.00","0.00","0.00%","0","28/06"
"Gayatri Tissue and Papers","154.65","154.65","154.65","+0.00","+0.00%","0","28/06"
"Global Education","147.15","147.15","133.55","+7.00","+4.99%","17.49K","10:15:22"
"Globe International Carriers","76.00","76.35","74.00","+0.00","+0.00%","0","28/06"
"Growington Ventures India","40.00","40.40","39.90","+1.30","+3.36%","12.50K","09:55:16"
"Haria Apparels","2.36","2.36","2.36","+0.11","+4.89%","150.00","09:42:23"
"High Street Filatex","25.65","25.65","25.65","+0.00","+0.00%","0","28/06"
"I Power Solutions India","5.68","5.68","5.68","+0.00","+0.00%","0","27/06"
"Imagicaaworld Entertainment Ltd","19.24","19.24","18.10","+0.91","+4.96%","1.48M","09:58:20"
"Imagicaaworld Entertainment Ltd","19.05","19.05","18.55","+0.90","+4.96%","682.59K","10:15:29"
"Inceptum Enterprises","9.78","10.79","9.78","0.00","0.00%","0","27/06"
"Indergiri Finance","4.44","4.44","4.44","+0.00","+0.00%","0","28/06"
"Infronics Systems","21.45","21.45","21.45","+0.00","+0.00%","0","27/06"
"Integra Garments Textiles","2.62","2.62","2.62","+0.12","+4.80%","8.00K","09:29:29"
"Integra Garments Textiles","2.400","2.400","2.400","+0.100","+4.35%","100.00","09:15:19"
"Interworld Digital","0.420","0.420","0.420","+0.000","+0.00%","0","27/06"
"Jmd Ventures","5.28","5.28","5.28","+0.10","+1.93%","100.00","09:07:11"
"KLK Electrical","44.25","44.25","44.25","+2.10","+4.98%","100.00","09:54:42"
"Kohinoor Foods Ltd","121.00","121.00","121.00","+5.75","+4.99%","46.93K","10:00:34"
"Kohinoor Foods Ltd","117.05","117.05","117.05","+5.55","+4.98%","8.11K","10:15:19"
"Kumbhat Financial Services","9.28","9.28","9.28","+0.00","+0.00%","0","27/06"
"Kush Industries","5.210","5.210","4.730","+0.240","+4.83%","16.90K","09:57:07"
"Linaks Micro Electronics","1.150","1.150","1.150","+0.000","+0.00%","0","27/06"
"Lorenzini Apparels","25.90","28.40","25.90","0.00","0.00%","0","27/06"
"MRC Exim","78.65","78.65","78.65","-1.80","-2.24%","2.00K","09:54:24"
"Mahan Ind","0.520","0.520","0.520","+0.000","+0.00%","0","27/06"
"Maharashtra Seamless","675.75","682.00","655.00","+26.90","+4.15%","472.19K","10:15:52"
"Maharashtra Seamless","675.00","676.00","657.50","+30.85","+4.79%","11.85K","10:00:50"
"Manraj Housing Finance","23.50","23.50","23.50","+0.00","+0.00%","0","28/06"
"Mehai Tech","64.10","64.45","61.95","+5.35","+9.11%","250.44K","10:00:53"
"Mercury Metals","3.47","3.47","3.47","+0.00","+0.00%","0","28/06"
"Mindpool Tech","28.20","28.20","28.20","+0.00","+0.00%","0","27/06"
"Moongipa Securities Ltd","120.75","120.75","120.75","+5.75","+5.00%","4.43K","09:54:56"
"Munoth Capital Market","65.10","65.10","65.10","+0.00","+0.00%","0","28/06"
"NINtec Systems","57.45","57.45","57.45","+2.70","+4.93%","3.75K","09:16:07"
"Naysaa Securities","106.00","106.00","106.00","+0.00","+0.00%","0","27/06"
"Precision Containeurs","0.490","0.490","0.490","+0.000","+0.00%","0","27/06"
"Priti International","129.20","129.20","129.20","+6.15","+5.00%","11.75K","10:15:44"
"R T Exports","8.27","8.27","8.27","+0.00","+0.00%","0","28/06"
"Ramsons Projects","28.00","28.00","27.95","+0.00","+0.00%","0","28/06"
"Regency Ceramics Ltd","2.400","2.400","2.400","+0.000","+0.00%","0","27/06"
"Regency Ceramics Ltd","3.50","3.50","3.50","+0.00","+0.00%","0","27/06"
"Response Informatics","21.04","21.04","21.04","+1.00","+4.99%","830.00","09:07:11"
"Roni Households","109.50","109.50","109.50","+3.50","+3.30%","1.50K","09:30:17"
"S & T","246.10","246.10","246.10","+11.70","+4.99%","2.49K","10:00:31"
"SOM Distilleries Breweries","75.25","75.25","70.20","+3.55","+4.95%","209.65K","10:15:31"
"SOM Distilleries Breweries","74.30","75.15","69.25","+2.50","+3.48%","37.98K","10:00:54"
"SPS Intl","17.00","17.00","17.00","+0.00","+0.00%","0","27/06"
"Sadhna Broadcast","12.20","12.20","11.20","+0.00","+0.00%","0","28/06"
"Scandent Imaging Ltd","50.30","50.30","50.20","+2.35","+4.90%","576.64K","10:00:53"
"Shraddha Prime Projects","15.12","15.12","15.12","+0.00","+0.00%","0","27/06"
"Shri Gang Industries Allied","33.00","33.00","33.00","+1.57","+5.00%","50.00","09:28:06"
"Solis Marketing","0.58","0.58","0.58","+0.00","+0.00%","0","27/06"
"Sonal Adhesives","21.44","21.44","21.44","+1.02","+5.00%","747.00","09:24:26"
"Spacenet Enterprises India","3.450","3.450","3.450","+0.150","+4.55%","2.09K","09:38:23"
"Sparc Systems","19.45","19.45","19.45","+0.92","+4.96%","100.00","09:42:28"
"Standard Shoe Sole and Mould India","19.59","19.59","19.59","+0.93","+4.98%","1.20K","09:48:52"
"Stanpacks India","10.04","10.04","10.04","+0.47","+4.91%","132.00","09:43:42"
"Sterling Greenwoods","28.85","28.85","28.85","+0.00","+0.00%","0","28/06"
"Sumuka Agro Industries","60.05","60.05","60.05","+2.85","+4.98%","6.74K","10:00:27"
"Swadeshi Industries","1.72","1.72","1.72","+0.00","+0.00%","0","27/06"
"Swadeshi Polytex","14.71","14.71","14.71","+0.70","+5.00%","683.00","09:48:52"
"Syschem India","27.00","27.05","24.55","+1.20","+4.65%","168.03K","09:59:31"
"Technvision Ventures","345.00","345.00","345.00","+16.00","+4.86%","2.00","09:22:34"
